tijdstip;datum;uur;kwartier;dag_van_week;weekdag;schoolvakantie;meetpunt_id;locatie;km;gemeente;weg;richting;voertuigen_kwartier;intensiteit_uur;weekdag_nr;maand;maand_naam;tijd_label
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-WM-01;E17 Waasmunster;108.2;Waasmunster;E17;Antwerpen;1215;4860;2;1;Jan;07:00
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-WM-02;E17 Waasmunster-Kruisweg;109.8;Waasmunster;E17;Antwerpen;1294;5176;2;1;Jan;07:00
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-BV-01;E17 Beveren;113.5;Beveren;E17;Antwerpen;1498;5992;2;1;Jan;07:00
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-BV-02;E17 Beveren-Melsele;116.0;Beveren;E17;Antwerpen;1417;5668;2;1;Jan;07:00
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-ZW-01;E17 Zwijndrecht;120.3;Zwijndrecht;E17;Antwerpen;1686;6744;2;1;Jan;07:00
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-ZW-02;E17 Burcht;124.7;Zwijndrecht;E17;Antwerpen;1448;5792;2;1;Jan;07:00
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-KN-01;E17 voor Kennedytunnel;128.5;Antwerpen;E17;Antwerpen;1684;6736;2;1;Jan;07:00
2025-01-01 07:00:00;2025-01-01;7;0;Wednesday;True;True;E17-KN-02;E17 Kennedytunnel inrit;130.1;Antwerpen;E17;Antwerpen;1870;7480;2;1;Jan;07:00
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-WM-01;E17 Waasmunster;108.2;Waasmunster;E17;Antwerpen;1422;5688;2;1;Jan;07:15
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-WM-02;E17 Waasmunster-Kruisweg;109.8;Waasmunster;E17;Antwerpen;1275;5100;2;1;Jan;07:15
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-BV-01;E17 Beveren;113.5;Beveren;E17;Antwerpen;1641;6564;2;1;Jan;07:15
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-BV-02;E17 Beveren-Melsele;116.0;Beveren;E17;Antwerpen;1516;6064;2;1;Jan;07:15
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-ZW-01;E17 Zwijndrecht;120.3;Zwijndrecht;E17;Antwerpen;1562;6248;2;1;Jan;07:15
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-ZW-02;E17 Burcht;124.7;Zwijndrecht;E17;Antwerpen;1631;6524;2;1;Jan;07:15
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-KN-01;E17 voor Kennedytunnel;128.5;Antwerpen;E17;Antwerpen;1761;7044;2;1;Jan;07:15
2025-01-01 07:15:00;2025-01-01;7;15;Wednesday;True;True;E17-KN-02;E17 Kennedytunnel inrit;130.1;Antwerpen;E17;Antwerpen;1921;7684;2;1;Jan;07:15
2025-01-01 07:30:00;2025-01-01;7;30;Wednesday;True;True;E17-WM-01;E17 Waasmunster;108.2;Waasmunster;E17;Antwerpen;949;3796;2;1;Jan;07:30
2025-01-01 07:30:00;2025-01-01;7;30;Wednesday;True;True;E17-WM-02;E17 Waasmunster-Kruisweg;109.8;Waasmunster;E17;Antwerpen;1405;5620;2;1;Jan;07:30
2025-01-01 07:30:00;2025-01-01;7;30;Wednesday;True;True;E17-BV-01;E17 Beveren;113.5;Beveren;E17;Antwerpen;1286;5144;2;1;Jan;07:30
2025-01-01 07:30:00;2025-01-01;7;30;Wednesday;True;True;E17-BV-02;E17 Beveren-Melsele;116.0;Beveren;E17;Antwerpen;1612;6448;2;1;Jan;07:30
2025-01-01 07:30:00;2025-01-01;7;30;Wednesday;True;True;E17-ZW-01;E17 Zwijndrecht;120.3;Zwijndrecht;E17;Antwerpen;1346;5384;2;1;Jan;07:30
2025-01-01 07:30:00;2025-01-01;7;30;Wednesday;True;True;E17-ZW-02;E17 Burcht;124.7;Zwijndrecht;E17;Antwerpen;1803;7212;2;1;Jan;07:30
2025-01-01 07:30:00;2025-01-01;7;30;Wednesday;True;True;E17-KN-01;E17 voor Kennedytunnel;128.5;Antwerpen;E17;Antwerpen;1945;7780;2;1;Jan;07:30
