datum;weekdag_naam;is_werkdag;maand;auto_reistijd_min;auto_reistijd_p85_min;vertraging_min;drukte_voertuigen;reistijd_index
2025-01-01;woensdag;True;1;6.3;6.3;0.0;705;1.0
2025-01-02;donderdag;True;1;6.4;6.4;0.1;6111;1.014
2025-01-03;vrijdag;True;1;6.4;6.4;0.1;6284;1.017
2025-01-04;zaterdag;False;1;6.3;6.3;0.0;2926;1.001
2025-01-05;zondag;False;1;6.3;6.3;0.0;1325;1.0
2025-01-06;maandag;True;1;6.9;6.9;0.6;9549;1.093
2025-01-07;dinsdag;True;1;6.9;6.9;0.5;9621;1.084
2025-01-08;woensdag;True;1;6.8;6.9;0.5;8646;1.073
2025-01-09;donderdag;True;1;6.6;6.7;0.3;8460;1.05
2025-01-10;vrijdag;True;1;6.8;6.8;0.5;8903;1.071
2025-01-11;zaterdag;False;1;6.3;6.3;0.0;3288;1.001
2025-01-12;zondag;False;1;6.3;6.3;0.0;1734;1.0
2025-01-13;maandag;True;1;6.7;6.7;0.4;8850;1.06
2025-01-14;dinsdag;True;1;6.6;6.6;0.2;7332;1.035
2025-01-15;woensdag;True;1;6.7;6.7;0.3;8394;1.051
2025-01-16;donderdag;True;1;6.6;6.6;0.3;8158;1.043
2025-01-17;vrijdag;True;1;6.8;6.9;0.5;9406;1.077
2025-01-18;zaterdag;False;1;6.4;6.4;0.0;4179;1.003
2025-01-19;zondag;False;1;6.3;6.3;0.0;2053;1.0
2025-01-20;maandag;True;1;5.7;6.5;-0.6;8623;0.9
2025-01-21;dinsdag;True;1;6.8;6.9;0.5;9404;1.079
2025-01-22;woensdag;True;1;6.7;6.9;0.4;8262;1.061
2025-01-23;donderdag;True;1;6.7;6.7;0.4;9055;1.061
2025-01-24;vrijdag;True;1;6.1;6.1;-0.2;7647;0.963
2025-01-25;zaterdag;False;1;5.3;6.0;-1.0;3930;0.837
2025-01-26;zondag;False;1;6.3;6.3;0.0;2216;1.0
2025-01-27;maandag;True;1;6.8;6.8;0.4;9043;1.069
2025-01-28;dinsdag;True;1;5.7;6.4;-0.7;8599;0.897
2025-01-29;woensdag;True;1;7.0;7.0;0.6;9858;1.099
2025-01-30;donderdag;True;1;5.7;6.4;-0.7;7156;0.896
2025-01-31;vrijdag;True;1;6.9;6.9;0.5;9352;1.086
2025-02-01;zaterdag;False;2;6.4;6.4;0.0;4239;1.003
2025-02-02;zondag;False;2;6.3;6.3;0.0;2337;1.0
2025-02-03;maandag;True;2;5.6;6.4;-0.7;6881;0.886
2025-02-04;dinsdag;True;2;6.2;6.5;-0.1;6918;0.981
2025-02-05;woensdag;True;2;6.9;6.9;0.5;9433;1.084
2025-02-06;donderdag;True;2;6.7;6.8;0.4;9107;1.066
2025-02-07;vrijdag;True;2;5.3;6.4;-1.0;8441;0.842
2025-02-08;zaterdag;False;2;6.4;6.4;0.0;4460;1.004
2025-02-09;zondag;False;2;6.0;6.2;-0.3;2074;0.952
2025-02-10;maandag;True;2;6.7;6.8;0.4;9028;1.062
2025-02-11;dinsdag;True;2;6.6;6.7;0.3;7125;1.047
2025-02-12;woensdag;True;2;5.8;6.6;-0.5;8995;0.915
2025-02-13;donderdag;True;2;6.8;6.8;0.5;9408;1.071
2025-02-14;vrijdag;True;2;6.9;7.0;0.6;8542;1.097
2025-02-15;zaterdag;False;2;6.4;6.4;0.0;4333;1.003
2025-02-16;zondag;False;2;6.3;6.3;0.0;2205;1.0
2025-02-17;maandag;True;2;6.8;6.9;0.5;9393;1.075
2025-02-18;dinsdag;True;2;6.7;6.7;0.4;9073;1.057
2025-02-19;woensdag;True;2;6.8;6.9;0.5;9596;1.08
2025-02-20;donderdag;True;2;6.7;6.7;0.3;8840;1.052
2025-02-21;vrijdag;True;2;6.3;6.5;-0.1;5491;0.992
2025-02-22;zaterdag;False;2;6.4;6.4;0.0;4838;1.006
2025-02-23;zondag;False;2;6.3;6.3;0.0;2633;1.001
2025-02-24;maandag;True;2;6.7;6.8;0.4;9090;1.064
2025-02-25;dinsdag;True;2;6.7;6.7;0.4;9212;1.064
2025-02-26;woensdag;True;2;6.7;6.7;0.3;8767;1.053
2025-02-27;donderdag;True;2;6.8;6.8;0.4;9350;1.068
2025-02-28;vrijdag;True;2;6.9;6.9;0.6;9807;1.092
2025-03-01;zaterdag;False;3;5.3;6.0;-1.0;3958;0.836
2025-03-02;zondag;False;3;6.3;6.3;0.0;2240;1.0
2025-03-03;maandag;True;3;6.9;7.0;0.6;8576;1.097
2025-03-04;dinsdag;True;3;4.6;4.6;-1.7;8104;0.733
2025-03-05;woensdag;True;3;6.9;7.0;0.6;9556;1.094
2025-03-06;donderdag;True;3;6.9;6.9;0.6;8438;1.09
2025-03-07;vrijdag;True;3;6.7;6.8;0.4;7770;1.065
2025-03-08;zaterdag;False;3;6.4;6.4;0.0;4747;1.005
2025-03-09;zondag;False;3;6.3;6.3;0.0;2517;1.0
2025-03-10;maandag;True;3;5.7;6.4;-0.7;8689;0.894
2025-03-11;dinsdag;True;3;6.7;6.7;0.4;9199;1.063
2025-03-12;woensdag;True;3;4.6;5.3;-1.7;5041;0.728
2025-03-13;donderdag;True;3;6.7;6.7;0.4;8999;1.058
2025-03-14;vrijdag;True;3;5.8;6.6;-0.5;8807;0.913
2025-03-15;zaterdag;False;3;6.4;6.4;0.0;4822;1.006
2025-03-16;zondag;False;3;6.3;6.3;0.0;2493;1.0
