date,car_actual_min,weekdag,schoolvakantie,brugdag
2025-01-01,60.0,woensdag,ja,neen
2025-01-02,89.0,donderdag,ja,ja
2025-01-03,88.9,vrijdag,ja,neen
2025-01-04,61.6,zaterdag,ja,neen
2025-01-05,60.0,zondag,ja,neen
2025-01-06,120.0,maandag,neen,neen
2025-01-07,120.0,dinsdag,neen,neen
2025-01-08,118.4,woensdag,neen,neen
2025-01-09,111.1,donderdag,neen,neen
2025-01-10,115.8,vrijdag,neen,neen
2025-01-11,67.0,zaterdag,neen,neen
2025-01-12,60.0,zondag,neen,neen
2025-01-13,119.0,maandag,neen,neen
2025-01-14,113.7,dinsdag,neen,neen
2025-01-15,111.4,woensdag,neen,neen
2025-01-16,112.2,donderdag,neen,neen
2025-01-17,117.5,vrijdag,neen,neen
2025-01-18,72.1,zaterdag,neen,neen
2025-01-19,60.0,zondag,neen,neen
2025-01-20,119.6,maandag,neen,neen
2025-01-21,114.7,dinsdag,neen,neen
2025-01-22,117.6,woensdag,neen,neen
2025-01-23,119.0,donderdag,neen,neen
2025-01-24,108.6,vrijdag,neen,neen
2025-01-25,72.5,zaterdag,neen,neen
2025-01-26,60.0,zondag,neen,neen
2025-01-27,117.6,maandag,neen,neen
2025-01-28,119.7,dinsdag,neen,neen
2025-01-29,120.0,woensdag,neen,neen
2025-01-30,119.5,donderdag,neen,neen
2025-01-31,118.7,vrijdag,neen,neen
2025-02-01,74.1,zaterdag,neen,neen
2025-02-02,60.0,zondag,neen,neen
2025-02-03,118.8,maandag,neen,neen
2025-02-04,113.9,dinsdag,neen,neen
2025-02-05,120.0,woensdag,neen,neen
2025-02-06,119.5,donderdag,neen,neen
2025-02-07,119.1,vrijdag,neen,neen
2025-02-08,73.5,zaterdag,neen,neen
2025-02-09,60.0,zondag,neen,neen
2025-02-10,120.0,maandag,neen,neen
2025-02-11,107.2,dinsdag,neen,neen
2025-02-12,120.0,woensdag,neen,neen
2025-02-13,120.0,donderdag,neen,neen
2025-02-14,120.0,vrijdag,neen,neen
2025-02-15,72.7,zaterdag,neen,neen
2025-02-16,60.0,zondag,neen,neen
2025-02-17,120.0,maandag,neen,neen
2025-02-18,115.8,dinsdag,neen,neen
