date,car_actual_min,car_actual_tunnel_cal_min,drukte_proxy_voertuigen
2025-01-01,60.0,60.0,455.5
2025-01-02,89.0,89.0,3768.0
2025-01-03,88.9,88.9,3766.0
2025-01-04,61.6,61.6,1651.0
2025-01-05,60.0,60.0,777.5
2025-01-06,120.0,120.0,6236.0
2025-01-07,120.0,120.0,6240.5
2025-01-08,118.4,118.4,6048.5
2025-01-09,111.1,111.1,5481.5
2025-01-10,115.8,115.8,5849.5
2025-01-11,67.0,67.0,2068.5
2025-01-12,60.0,60.0,959.5
2025-01-13,119.0,119.0,6093.5
2025-01-14,113.7,113.7,5686.5
2025-01-15,111.4,111.4,5502.5
2025-01-16,112.2,112.2,5566.0
2025-01-17,117.5,117.5,5976.0
2025-01-18,72.1,72.1,2463.5
2025-01-19,60.0,60.0,1158.0
2025-01-20,119.6,119.6,6143.0
2025-01-21,114.7,114.7,5758.5
2025-01-22,117.6,117.6,5988.5
2025-01-23,119.0,119.0,6090.5
2025-01-24,108.6,108.6,5291.5
2025-01-25,72.5,72.5,2489.5
2025-01-26,60.0,60.0,1314.5
2025-01-27,117.6,117.6,5983.0
2025-01-28,119.7,119.7,6149.5
2025-01-29,120.0,120.0,6283.0
2025-01-30,119.5,119.5,6134.5
2025-01-31,118.7,118.7,6071.5
2025-02-01,74.1,74.1,2615.5
2025-02-02,60.0,60.0,1360.5
2025-02-03,118.8,118.8,6078.5
2025-02-04,113.9,113.9,5697.0
2025-02-05,120.0,120.0,6171.5
2025-02-06,119.5,119.5,6133.5
2025-02-07,119.1,119.1,6100.5
2025-02-08,73.5,73.5,2573.0
2025-02-09,60.0,60.0,1315.5
2025-02-10,120.0,120.0,6190.5
2025-02-11,107.2,107.2,5177.0
2025-02-12,120.0,120.0,6183.0
2025-02-13,120.0,120.0,6284.5
2025-02-14,120.0,120.0,6175.5
2025-02-15,72.7,72.7,2512.0
2025-02-16,60.0,60.0,1274.5
2025-02-17,120.0,120.0,6282.0
2025-02-18,115.8,115.8,5846.5
2025-02-19,120.0,120.0,6290.5
2025-02-20,120.0,120.0,6297.0
2025-02-21,104.8,104.8,4991.5
2025-02-22,75.9,75.9,2753.0
2025-02-23,60.0,60.0,1499.0
2025-02-24,119.7,119.7,6148.5
2025-02-25,120.0,120.0,6209.5
2025-02-26,113.0,113.0,5627.5
2025-02-27,120.0,120.0,6361.5
2025-02-28,120.0,120.0,6256.0
2025-03-01,74.7,74.7,2666.0
2025-03-02,60.0,60.0,1271.0
2025-03-03,119.5,119.5,6132.0
2025-03-04,119.7,119.7,6149.5
2025-03-05,116.2,116.2,5880.0
2025-03-06,120.0,120.0,6269.0
2025-03-07,113.7,113.7,5684.5
2025-03-08,75.6,75.6,2729.5
2025-03-09,60.0,60.0,1335.5
2025-03-10,120.0,120.0,6296.5
2025-03-11,120.0,120.0,6275.5
2025-03-12,92.0,92.0,4003.0
2025-03-13,120.0,120.0,6310.5
2025-03-14,120.0,120.0,6266.0
2025-03-15,76.2,76.2,2775.5
2025-03-16,60.0,60.0,1444.0
2025-03-17,120.0,120.0,6252.5
2025-03-18,118.0,118.0,6015.5
2025-03-19,120.0,120.0,6260.0
2025-03-20,120.0,120.0,6398.5
2025-03-21,120.0,120.0,6339.5
2025-03-22,77.3,77.3,2867.0
2025-03-23,60.0,60.0,1479.0
2025-03-24,116.7,116.7,5915.5
2025-03-25,120.0,120.0,6171.5
2025-03-26,120.0,120.0,6385.0
2025-03-27,117.4,117.4,5972.5
2025-03-28,120.0,120.0,6347.0
2025-03-29,79.4,79.4,3027.0
2025-03-30,60.0,60.0,1457.0
2025-03-31,117.7,117.7,5997.0
2025-04-01,118.4,118.4,6046.0
2025-04-02,120.0,120.0,6309.5
2025-04-03,120.0,120.0,6221.0
2025-04-04,119.0,119.0,6094.0
2025-04-05,81.6,81.6,3196.0
2025-04-06,62.0,62.0,1682.0
2025-04-07,118.2,118.2,6029.0
2025-04-08,112.8,112.8,5613.5
2025-04-09,118.4,118.4,6050.0
2025-04-10,120.0,120.0,6171.5
2025-04-11,113.1,113.1,5639.5
2025-04-12,81.6,81.6,3195.0
2025-04-13,60.0,60.0,1494.0
2025-04-14,120.0,120.0,6193.0
2025-04-15,105.0,105.0,5006.5
2025-04-16,119.4,119.4,6125.5
2025-04-17,117.0,117.0,5936.5
2025-04-18,106.4,106.4,5122.0
2025-04-19,76.0,76.0,2762.5
2025-04-20,60.0,60.0,1230.5
2025-04-21,60.0,60.0,1501.0
2025-04-22,120.0,120.0,6362.0
2025-04-23,120.0,120.0,6350.5
2025-04-24,118.5,118.5,6051.5
2025-04-25,107.0,107.0,5161.5
2025-04-26,81.8,81.8,3215.5
2025-04-27,62.2,62.2,1697.0
2025-04-28,120.0,120.0,6266.0
2025-04-29,114.8,114.8,5771.0
2025-04-30,119.5,119.5,6136.0
2025-05-01,80.7,80.7,3129.0
2025-05-02,94.9,94.9,4231.0
2025-05-03,76.8,76.8,2825.0
2025-05-04,60.8,60.8,1584.5
2025-05-05,120.0,120.0,6217.5
2025-05-06,120.0,120.0,6193.5
2025-05-07,120.0,120.0,6234.0
2025-05-08,117.8,117.8,6002.5
2025-05-09,119.0,119.0,6095.0
2025-05-10,79.7,79.7,3050.5
2025-05-11,60.4,60.4,1553.5
2025-05-12,95.9,95.9,4304.5
2025-05-13,108.2,108.2,5257.0
2025-05-14,105.7,105.7,5065.0
2025-05-15,118.9,118.9,6087.5
2025-05-16,118.7,118.7,6070.0
2025-05-17,79.2,79.2,3009.5
2025-05-18,62.9,62.9,1748.0
2025-05-19,116.7,116.7,5915.5
2025-05-20,112.2,112.2,5566.5
2025-05-21,118.6,118.6,6064.0
2025-05-22,118.4,118.4,6050.0
2025-05-23,118.7,118.7,6072.0
2025-05-24,80.1,80.1,3083.0
2025-05-25,60.8,60.8,1589.0
2025-05-26,115.3,115.3,5808.5
2025-05-27,115.8,115.8,5845.0
2025-05-28,116.8,116.8,5927.5
2025-05-29,71.6,71.6,2423.0
2025-05-30,88.3,88.3,3713.5
2025-05-31,72.7,72.7,2506.5
2025-06-01,60.0,60.0,1494.0
2025-06-02,116.6,116.6,5910.0
2025-06-03,117.4,117.4,5973.5
2025-06-04,116.5,116.5,5898.5
2025-06-05,117.9,117.9,6007.0
2025-06-06,116.4,116.4,5891.0
2025-06-07,72.6,72.6,2504.0
2025-06-08,60.0,60.0,1351.5
2025-06-09,60.0,60.0,1452.0
2025-06-10,118.7,118.7,6072.5
2025-06-11,119.1,119.1,6105.5
2025-06-12,118.2,118.2,6032.0
2025-06-13,108.9,108.9,5310.5
2025-06-14,79.0,79.0,2998.5
2025-06-15,60.0,60.0,1497.5
2025-06-16,115.4,115.4,5818.5
2025-06-17,116.8,116.8,5924.5
2025-06-18,118.6,118.6,6063.0
2025-06-19,115.8,115.8,5843.0
2025-06-20,119.1,119.1,6099.5
2025-06-21,79.3,79.3,3018.5
2025-06-22,61.0,61.0,1600.5
2025-06-23,114.4,114.4,5734.5
2025-06-24,107.6,107.6,5208.0
2025-06-25,119.8,119.8,6159.0
2025-06-26,60.0,60.0,901.5
2025-06-27,115.1,115.1,5793.0
2025-06-28,79.0,79.0,2993.0
2025-06-29,60.0,60.0,1459.5
2025-06-30,92.5,92.5,4045.0
2025-07-01,101.8,101.8,4764.0
2025-07-02,101.7,101.7,4757.5
2025-07-03,105.9,105.9,5078.5
2025-07-04,93.2,93.2,4097.0
2025-07-05,72.9,72.9,2520.5
2025-07-06,60.0,60.0,1199.5
2025-07-07,91.5,91.5,3967.5
2025-07-08,102.7,102.7,4828.0
2025-07-09,105.0,105.0,5007.5
2025-07-10,83.3,83.3,3329.5
2025-07-11,82.5,82.5,3270.0
2025-07-12,71.8,71.8,2441.0
2025-07-13,60.0,60.0,1477.5
2025-07-14,110.6,110.6,5446.5
2025-07-15,115.9,115.9,5853.5
2025-07-16,115.8,115.8,5848.0
2025-07-17,118.3,118.3,6036.0
2025-07-18,99.8,99.8,4608.0
2025-07-19,77.9,77.9,2913.5
2025-07-20,60.7,60.7,1579.5
2025-07-21,64.5,64.5,1875.0
2025-07-22,110.0,110.0,5397.5
2025-07-23,107.3,107.3,5184.5
2025-07-24,109.2,109.2,5334.5
2025-07-25,94.9,94.9,4225.0
2025-07-26,74.7,74.7,2665.0
2025-07-27,60.0,60.0,1516.0
2025-07-28,108.1,108.1,5250.0
2025-07-29,111.5,111.5,5515.5
2025-07-30,108.6,108.6,5285.0
2025-07-31,112.4,112.4,5583.5
2025-08-01,100.4,100.4,4655.0
2025-08-02,73.2,73.2,2544.0
2025-08-03,61.4,61.4,1631.5
2025-08-04,108.5,108.5,5284.0
2025-08-05,111.7,111.7,5530.0
2025-08-06,118.2,118.2,6033.0
2025-08-07,120.0,120.0,6210.5
2025-08-08,106.1,106.1,5091.5
2025-08-09,74.9,74.9,2676.5
2025-08-10,61.5,61.5,1637.0
2025-08-11,118.5,118.5,6055.5
2025-08-12,112.9,112.9,5622.5
2025-08-13,118.2,118.2,6035.0
2025-08-14,109.0,109.0,5318.5
2025-08-15,75.8,75.8,2749.5
2025-08-16,69.7,69.7,2275.0
2025-08-17,60.8,60.8,1586.0
2025-08-18,113.1,113.1,5634.0
2025-08-19,113.0,113.0,5630.5
2025-08-20,115.0,115.0,5785.0
2025-08-21,107.6,107.6,5210.0
2025-08-22,107.0,107.0,5164.0
2025-08-23,72.7,72.7,2505.0
2025-08-24,60.7,60.7,1582.5
2025-08-25,116.2,116.2,5878.0
2025-08-26,109.8,109.8,5379.5
2025-08-27,114.4,114.4,5738.0
2025-08-28,117.1,117.1,5944.0
2025-08-29,111.6,111.6,5518.0
2025-08-30,75.6,75.6,2736.0
2025-08-31,60.0,60.0,1406.5
2025-09-01,116.0,116.0,5858.0
2025-09-02,118.8,118.8,6077.0
2025-09-03,108.2,108.2,5257.0
2025-09-04,102.7,102.7,4833.5
2025-09-05,117.2,117.2,5955.5
2025-09-06,76.1,76.1,2768.5
2025-09-07,61.3,61.3,1624.0
2025-09-08,117.2,117.2,5957.0
2025-09-09,97.6,97.6,4436.5
2025-09-10,113.2,113.2,5646.5
2025-09-11,113.7,113.7,5686.0
2025-09-12,114.6,114.6,5754.5
2025-09-13,75.3,75.3,2712.5
2025-09-14,63.6,63.6,1802.5
2025-09-15,93.7,93.7,4137.5
2025-09-16,113.9,113.9,5697.0
2025-09-17,114.9,114.9,5776.5
2025-09-18,107.0,107.0,5161.5
2025-09-19,109.1,109.1,5326.5
2025-09-20,79.0,79.0,2992.5
2025-09-21,61.0,61.0,1606.0
2025-09-22,115.3,115.3,5804.0
2025-09-23,116.5,116.5,5902.5
2025-09-24,116.4,116.4,5893.5
2025-09-25,115.2,115.2,5801.5
2025-09-26,117.8,117.8,5998.5
2025-09-27,76.3,76.3,2783.5
2025-09-28,64.4,64.4,1865.0
2025-09-29,115.3,115.3,5805.0
2025-09-30,104.0,104.0,4933.5
2025-10-01,104.2,104.2,4947.0
2025-10-02,117.7,117.7,5995.0
2025-10-03,117.2,117.2,5957.5
2025-10-04,72.0,72.0,2453.5
2025-10-05,61.2,61.2,1619.5
2025-10-06,115.0,115.0,5783.5
2025-10-07,97.7,97.7,4448.0
2025-10-08,111.6,111.6,5523.5
2025-10-09,116.3,116.3,5885.5
2025-10-10,119.1,119.1,6104.0
2025-10-11,79.0,79.0,2999.0
2025-10-12,60.2,60.2,1537.0
2025-10-13,114.0,114.0,5704.5
2025-10-14,115.7,115.7,5836.5
2025-10-15,104.4,104.4,4959.5
2025-10-16,114.9,114.9,5778.0
2025-10-17,117.2,117.2,5953.0
2025-10-18,79.5,79.5,3032.0
2025-10-19,64.3,64.3,1861.5
2025-10-20,113.8,113.8,5687.5
2025-10-21,112.3,112.3,5572.0
2025-10-22,114.7,114.7,5757.5
2025-10-23,115.7,115.7,5839.5
2025-10-24,99.9,99.9,4615.0
2025-10-25,76.7,76.7,2817.5
2025-10-26,61.6,61.6,1652.0
2025-10-27,115.8,115.8,5843.0
2025-10-28,113.9,113.9,5695.5
2025-10-29,117.3,117.3,5961.5
2025-10-30,117.2,117.2,5958.5
2025-10-31,109.1,109.1,5330.5
2025-11-01,69.3,69.3,2242.0
2025-11-02,60.0,60.0,1304.0
2025-11-03,117.0,117.0,5936.5
2025-11-04,112.4,112.4,5586.0
2025-11-05,118.4,118.4,6050.0
2025-11-06,115.3,115.3,5810.0
2025-11-07,117.9,117.9,6008.0
2025-11-08,80.7,80.7,3125.5
2025-11-09,60.0,60.0,1485.0
2025-11-10,89.5,89.5,3811.0
2025-11-11,64.3,64.3,1856.5
2025-11-12,107.6,107.6,5211.5
2025-11-13,115.0,115.0,5782.5
2025-11-14,117.5,117.5,5976.5
2025-11-15,76.4,76.4,2795.5
2025-11-16,60.0,60.0,1516.5
2025-11-17,114.4,114.4,5734.0
2025-11-18,106.0,106.0,5088.0
2025-11-19,105.2,105.2,5025.5
2025-11-20,114.3,114.3,5726.5
2025-11-21,115.2,115.2,5797.5
2025-11-22,76.2,76.2,2779.0
2025-11-23,60.0,60.0,1194.0
2025-11-24,112.0,112.0,5554.0
2025-11-25,110.5,110.5,5433.0
2025-11-26,113.6,113.6,5672.0
2025-11-27,116.5,116.5,5903.0
2025-11-28,117.8,117.8,5998.5
2025-11-29,78.9,78.9,2988.0
2025-11-30,62.7,62.7,1737.0
2025-12-01,112.8,112.8,5612.5
2025-12-02,112.8,112.8,5613.0
