date,drukte_voertuigen,geschatte_reistijd_min,geschatte_reistijd_tunnelkalibratie_min
2025-01-01,455.5,60.0,60.0
2025-01-02,3768.0,89.0,89.0
2025-01-03,3766.0,88.9,88.9
2025-01-04,1651.0,61.6,61.6
2025-01-05,777.5,60.0,60.0
2025-01-06,6236.0,120.0,120.0
2025-01-07,6240.5,120.0,120.0
2025-01-08,6048.5,118.4,118.4
2025-01-09,5481.5,111.1,111.1
2025-01-10,5849.5,115.8,115.8
2025-01-11,2068.5,67.0,67.0
2025-01-12,959.5,60.0,60.0
2025-01-13,6093.5,119.0,119.0
2025-01-14,5686.5,113.7,113.7
2025-01-15,5502.5,111.4,111.4
2025-01-16,5566.0,112.2,112.2
2025-01-17,5976.0,117.5,117.5
2025-01-18,2463.5,72.1,72.1
2025-01-19,1158.0,60.0,60.0
2025-01-20,6143.0,119.6,119.6
2025-01-21,5758.5,114.7,114.7
2025-01-22,5988.5,117.6,117.6
2025-01-23,6090.5,119.0,119.0
2025-01-24,5291.5,108.6,108.6
2025-01-25,2489.5,72.5,72.5
2025-01-26,1314.5,60.0,60.0
2025-01-27,5983.0,117.6,117.6
2025-01-28,6149.5,119.7,119.7
2025-01-29,6283.0,120.0,120.0
2025-01-30,6134.5,119.5,119.5
2025-01-31,6071.5,118.7,118.7
2025-02-01,2615.5,74.1,74.1
2025-02-02,1360.5,60.0,60.0
2025-02-03,6078.5,118.8,118.8
2025-02-04,5697.0,113.9,113.9
2025-02-05,6171.5,120.0,120.0
2025-02-06,6133.5,119.5,119.5
2025-02-07,6100.5,119.1,119.1
2025-02-08,2573.0,73.5,73.5
2025-02-09,1315.5,60.0,60.0
2025-02-10,6190.5,120.0,120.0
2025-02-11,5177.0,107.2,107.2
2025-02-12,6183.0,120.0,120.0
2025-02-13,6284.5,120.0,120.0
2025-02-14,6175.5,120.0,120.0
2025-02-15,2512.0,72.7,72.7
2025-02-16,1274.5,60.0,60.0
2025-02-17,6282.0,120.0,120.0
2025-02-18,5846.5,115.8,115.8
2025-02-19,6290.5,120.0,120.0
2025-02-20,6297.0,120.0,120.0
2025-02-21,4991.5,104.8,104.8
