date,weekday,weekday_num,month,year,season,is_school_holiday,is_mon,is_tue_thu,is_fri,rain_total,rain_peak,wind_peak,wind_mean,temp_min,temp_mean,humidity_max,snow_total,weather_risk,car_est_min,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct,train_sched_min,car_faster_than_train
2021-01-04,Monday,0,1,2021,Winter,False,1,0,0,0.7,0.3,15.5,15.225,1.8,1.85,97.0,0.0,1,76.2,58.0,57.54166666666667,94.5,0.8333333333333334,0.0,58.0,0
2021-01-05,Tuesday,1,1,2021,Winter,False,0,1,0,0.1,0.1,13.8,13.0,1.8,1.825,96.0,0.0,0,80.3,58.0,63.625,50.5,0.8333333333333334,0.0,58.0,0
2021-01-06,Wednesday,2,1,2021,Winter,False,0,0,0,1.2,0.5,14.3,13.9,2.3,2.4,98.0,0.0,1,73.5,58.0,57.05,-35.5,1.0,0.0,58.0,0
2021-01-07,Thursday,3,1,2021,Winter,False,0,1,0,0.8,0.3,14.4,13.575,0.9,1.125,99.0,0.07,4,79.1,58.0,58.79166666666667,53.0,0.8333333333333334,0.0,58.0,0
2021-01-08,Friday,4,1,2021,Winter,False,0,0,1,0.4,0.1,18.8,17.825,1.6,1.75,94.0,0.0,0,68.4,58.0,57.18333333333334,0.5,1.0,0.0,58.0,0
2021-01-11,Monday,0,1,2021,Winter,False,1,0,0,0.0,0.0,17.7,16.65,0.9,1.35,95.0,0.0,0,76.2,58.0,57.56666666666667,6.0,1.0,0.0,58.0,0
2021-01-12,Tuesday,1,1,2021,Winter,False,0,1,0,6.0,2.0,28.4,26.849999999999998,7.8,8.125,92.0,0.0,2,85.9,58.0,56.90833333333333,-42.0,1.0,0.0,58.0,0
2021-01-13,Wednesday,2,1,2021,Winter,False,0,0,0,0.0,0.0,16.4,15.575,0.9,1.575,95.0,0.0,0,71.4,58.0,57.083333333333336,21.5,1.0,0.0,58.0,0
2021-01-14,Thursday,3,1,2021,Winter,False,0,1,0,4.1,1.4,11.7,10.125,1.0,1.625,100.0,1.12,4,101.3,58.0,57.725,-21.5,1.0,0.0,58.0,0
2021-01-15,Friday,4,1,2021,Winter,False,0,0,1,0.0,0.0,14.8,13.95,-1.5,-1.4249999999999998,88.0,0.0,1,73.2,58.0,57.79166666666667,-33.0,0.8333333333333334,0.0,58.0,0
