weekday_num,weekday_nl,month,month_nl,weather_label,is_school_holiday,rain_peak,wind_peak,temp_min,snow_total,humidity_max,weather_risk,car_vc_min,train_sched_min,mode,risk_label
0,Maandag,1,Jan,Droog / zonnig,False,0.0,12,1.0,0.0,60,0,69.9,58.0,trein,oranje
0,Maandag,1,Jan,Lichte regen,False,0.9,20,1.0,0.0,82,0,71.8,58.0,trein,oranje
0,Maandag,1,Jan,Matige regen,False,2.5,30,1.0,0.0,90,2,71.8,58.0,trein,oranje
0,Maandag,1,Jan,Zware regen,False,5.5,38,1.0,0.0,95,2,77.5,58.0,trein,oranje
0,Maandag,1,Jan,Zware regen + wind,False,5.5,55,1.0,0.0,96,4,81.8,58.0,trein,oranje
0,Maandag,1,Jan,Sneeuw,False,0.5,20,-1.5,3.0,96,4,73.4,58.0,trein,oranje
0,Maandag,1,Jan,IJzel (vorst),False,0.0,10,-4.0,0.0,88,1,72.6,58.0,trein,oranje
0,Maandag,1,Jan,Storm (code rood),False,4.0,85,1.0,0.0,97,5,76.1,58.0,thuiswerken,rood
0,Maandag,2,Feb,Droog / zonnig,False,0.0,12,0.5,0.0,60,0,69.9,58.0,trein,oranje
0,Maandag,2,Feb,Lichte regen,False,0.9,20,0.5,0.0,82,0,71.8,58.0,trein,oranje
0,Maandag,2,Feb,Matige regen,False,2.5,30,0.5,0.0,90,2,71.8,58.0,trein,oranje
0,Maandag,2,Feb,Zware regen,False,5.5,38,0.5,0.0,95,2,77.5,58.0,trein,oranje
0,Maandag,2,Feb,Zware regen + wind,False,5.5,55,0.5,0.0,96,4,81.8,58.0,trein,oranje
0,Maandag,2,Feb,Sneeuw,False,0.5,20,-1.5,3.0,96,4,73.4,58.0,trein,oranje
0,Maandag,2,Feb,IJzel (vorst),False,0.0,10,-4.0,0.0,88,1,72.6,58.0,trein,oranje
0,Maandag,2,Feb,Storm (code rood),False,4.0,85,0.5,0.0,97,5,76.1,58.0,thuiswerken,rood
0,Maandag,3,Mrt,Droog / zonnig,False,0.0,12,3.0,0.0,60,0,69.9,58.0,trein,oranje
