datum;weekdag_naam;is_werkdag;maand;auto_reistijd_min;auto_reistijd_p85_min;vertraging_min;drukte_voertuigen;reistijd_index;tunnel_vc;tunnel_drukte;schoolvakantie;vakantie_naam;feestdag;feestdag_naam;pendeldag;seizoen;ring_bezetting;file_ring_min;reistijd_gm_min;vertrek_gent
2025-01-01;woensdag;True;1;6.3;6.3;0.0;374;1.0;0.0723083025126974;374.3333333333333;True;Kerstvakantie;True;Nieuwjaar;False;winter;0.0723083025126974;0.0;60.0;08:00
2025-01-02;donderdag;True;1;6.4;6.4;0.1;3191;1.014;0.6163912555245346;3191.0;True;Kerstvakantie;False;;False;winter;0.6163912555245346;4.9;64.9;07:55
2025-01-03;vrijdag;True;1;6.4;6.4;0.1;3117;1.017;0.6021613936765327;3117.333333333333;True;Kerstvakantie;False;;False;winter;0.6021613936765327;4.4;64.4;07:55
2025-01-04;zaterdag;False;1;6.3;6.3;0.0;1486;1.001;0.28704400053571244;1486.0;True;Kerstvakantie;False;;False;winter;0.28704400053571244;0.1;60.1;07:59
2025-01-05;zondag;False;1;6.3;6.3;0.0;657;1.0;0.12697415187447847;657.3333333333333;True;Kerstvakantie;False;;False;winter;0.12697415187447847;0.0;60.0;08:00
2025-01-06;maandag;True;1;6.9;6.9;0.6;4919;1.093;0.9501169295435111;4918.666666666666;False;;False;;True;winter;0.9501169295435111;42.7;102.7;07:17
2025-01-07;dinsdag;True;1;6.9;6.9;0.5;4921;1.084;0.9505676491495564;4921.0;False;;False;;True;winter;0.9505676491495564;42.8;102.8;07:17
2025-01-08;woensdag;True;1;6.8;6.9;0.5;4491;1.073;0.8675708531220703;4491.333333333333;False;;False;;True;winter;0.8675708531220703;27.1;87.1;07:32
2025-01-09;donderdag;True;1;6.6;6.7;0.3;4435;1.05;0.8566248055466842;4434.666666666666;False;;False;;True;winter;0.8566248055466842;25.4;85.4;07:34
2025-01-10;vrijdag;True;1;6.8;6.8;0.5;4614;1.071;0.8912658266970237;4614.0;False;;False;;True;winter;0.8912658266970237;31.0;91.0;07:29
2025-01-11;zaterdag;False;1;6.3;6.3;0.0;1789;1.001;0.34550877229130394;1788.6666666666667;False;;False;;False;winter;0.34550877229130394;0.3;60.3;07:59
2025-01-12;zondag;False;1;6.3;6.3;0.0;859;1.0;0.16592920353982302;859.0;False;;False;;False;winter;0.16592920353982302;0.0;60.0;08:00
2025-01-13;maandag;True;1;6.7;6.7;0.4;4635;1.06;0.8952579146362821;4634.666666666666;False;;False;;True;winter;0.8952579146362821;31.7;91.7;07:28
2025-01-14;dinsdag;True;1;6.6;6.6;0.2;4079;1.035;0.7878578713672;4078.6666666666665;False;;False;;True;winter;0.7878578713672;16.7;76.7;07:43
2025-01-15;woensdag;True;1;6.7;6.7;0.3;4395;1.051;0.848962572243914;4395.0;False;;False;;True;winter;0.848962572243914;24.3;84.3;07:35
2025-01-16;donderdag;True;1;6.6;6.6;0.3;4213;1.043;0.8138708314875293;4213.333333333333;False;;False;;True;winter;0.8138708314875293;19.7;79.7;07:40
2025-01-17;vrijdag;True;1;6.8;6.9;0.5;4776;1.077;0.9224942565444486;4775.666666666666;False;;False;;True;winter;0.9224942565444486;36.8;96.8;07:23
2025-01-18;zaterdag;False;1;6.4;6.4;0.0;2104;1.003;0.40635591910742064;2103.666666666667;False;;False;;False;winter;0.40635591910742064;0.6;60.6;07:59
2025-01-19;zondag;False;1;6.3;6.3;0.0;1027;1.0;0.19844540369023458;1027.3333333333333;False;;False;;False;winter;0.19844540369023458;0.0;60.0;08:00
2025-01-20;maandag;True;1;5.7;6.5;-0.6;4768;0.9;0.9209489321808648;4767.666666666667;False;;False;;True;winter;0.9209489321808648;36.5;96.5;07:23
2025-01-21;dinsdag;True;1;6.8;6.9;0.5;4868;1.079;0.9403942637559624;4868.333333333333;False;;False;;True;winter;0.9403942637559624;40.5;100.5;07:19
2025-01-22;woensdag;True;1;6.7;6.9;0.4;4457;1.061;0.8609388360616893;4457.0;False;;False;;True;winter;0.8609388360616893;26.1;86.1;07:33
2025-01-23;donderdag;True;1;6.7;6.7;0.4;4813;1.061;0.9297057702411736;4813.0;False;;False;;True;winter;0.9297057702411736;38.3;98.3;07:21
2025-01-24;vrijdag;True;1;6.1;6.1;-0.2;4744;0.963;0.9164417361204117;4744.333333333334;False;;False;;True;winter;0.9164417361204117;35.6;95.6;07:24
2025-01-25;zaterdag;False;1;5.3;6.0;-1.0;2145;0.837;0.4144044835010869;2145.333333333333;False;;False;;False;winter;0.4144044835010869;0.7;60.7;07:59
2025-01-26;zondag;False;1;6.3;6.3;0.0;1151;1.0;0.22226915429548663;1150.6666666666667;False;;False;;False;winter;0.22226915429548663;0.0;60.0;08:00
2025-01-27;maandag;True;1;6.8;6.8;0.4;4755;1.069;0.9185021686051902;4755.0;False;;False;;True;winter;0.9185021686051902;36.0;96.0;07:24
2025-01-28;dinsdag;True;1;5.7;6.4;-0.7;4865;0.897;0.9397503786044691;4865.0;False;;False;;True;winter;0.9397503786044691;40.4;100.4;07:19
2025-01-29;woensdag;True;1;7.0;7.0;0.6;4971;1.099;0.9602259264219559;4971.0;False;;False;;True;winter;0.9602259264219559;45.0;105.0;07:15
