year,month,vc_car_base_min
2021,1,16.22
2021,2,35.75
2021,3,34.4
2021,4,33.85
2021,5,38.32
2021,6,36.32
2021,9,45.05
2021,10,44.24
2021,11,36.83
2021,12,33.61
2022,1,37.28
2022,2,37.44
2022,3,39.29
2022,4,43.71
2022,5,44.67
2022,6,42.25
2022,9,42.15
2022,10,44.62
2022,11,48.09
2022,12,40.65
2023,1,45.24
2023,2,42.76
2023,3,45.5
2023,4,46.84
2023,5,44.52
2023,6,38.75
2023,9,38.8
2023,10,44.72
2023,11,46.55
2023,12,44.16
2024,1,39.51
2024,2,40.03
2024,3,41.89
2024,4,44.52
2024,5,43.16
2024,6,38.32
2024,9,39.49
2024,10,43.15
2024,11,42.77
2024,12,40.64
2025,1,37.44
2025,2,39.95
2025,3,42.74
2025,4,42.68
2025,5,42.62
2025,6,42.39
2025,9,47.77
2025,10,47.38
2025,11,45.89
2025,12,42.74
2026,1,44.68
2026,2,43.8
2026,3,42.75
2026,4,41.15
