date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2025-07-01,6,58.5,56.88333333333334,35.0,0.8333333333333334,0.0
2025-07-02,6,58.5,59.641666666666666,13.0,1.0,0.0
2025-07-03,6,58.5,55.78333333333333,-5.5,1.0,0.0
2025-07-04,6,58.5,57.13333333333333,-42.0,1.0,0.0
2025-07-05,3,64.0,64.53333333333333,73.0,1.0,0.0
2025-07-06,3,64.0,63.61666666666667,-2.0,1.0,0.0
2025-07-07,6,58.5,57.975,-15.5,1.0,0.0
2025-07-08,6,58.5,57.46666666666667,28.0,0.8333333333333334,0.0
2025-07-09,6,58.5,59.233333333333334,-24.0,1.0,0.0
2025-07-10,6,58.5,57.991666666666674,8.0,1.0,0.0
2025-07-11,6,58.5,59.28333333333333,46.5,1.0,0.0
2025-07-14,6,58.5,57.141666666666666,-40.5,1.0,0.0
2025-07-15,6,58.5,58.04166666666667,-39.0,1.0,0.0
2025-07-16,6,58.5,57.90833333333333,-1.5,1.0,0.0
2025-07-17,6,58.5,58.05,-22.0,1.0,0.0
2025-07-18,6,58.5,56.916666666666664,-51.5,1.0,0.0
2025-07-19,3,64.0,65.71666666666667,127.0,0.6666666666666666,0.0
2025-07-20,3,64.0,63.666666666666664,11.0,1.0,0.0
2025-07-21,3,64.0,63.7,-5.0,1.0,0.0
2025-07-22,6,58.5,57.958333333333336,-22.5,1.0,0.0
2025-07-23,4,58.5,73.59166666666667,390.0,0.5,0.0
2025-07-24,6,58.5,57.81666666666666,-36.0,1.0,0.0
2025-07-25,6,58.5,57.208333333333336,-55.0,1.0,0.0
2025-07-26,3,64.0,64.71666666666667,47.0,0.6666666666666666,0.0
2025-07-27,3,64.0,64.31666666666666,27.0,1.0,0.0
2025-07-28,6,58.5,57.20833333333333,-61.0,1.0,0.0
2025-07-29,6,58.5,57.11666666666667,-27.5,1.0,0.0
2025-07-30,6,58.5,58.21666666666667,-11.0,1.0,0.0
2025-07-31,6,58.5,57.93333333333333,-20.5,1.0,0.0
