departure_dt,arrival_dt,duration_min,n_changes,dep_platform,dep_station,arr_station,dep_delay_s,arr_delay_s,query_date
2026-05-27 06:56:00,2026-05-27 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:01:00,2026-05-27 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:20:00,2026-05-27 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:21:00,2026-05-27 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:27:00,2026-05-27 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-27 07:58:00,2026-05-27 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-27
2026-05-28 06:56:00,2026-05-28 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:01:00,2026-05-28 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:20:00,2026-05-28 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:21:00,2026-05-28 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:27:00,2026-05-28 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-28 07:58:00,2026-05-28 08:46:00,48.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-28
2026-05-29 06:56:00,2026-05-29 07:46:00,50.0,0,8,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:01:00,2026-05-29 08:02:00,61.0,1,10,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:20:00,2026-05-29 08:26:00,66.0,1,9,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:21:00,2026-05-29 08:27:00,66.0,0,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
2026-05-29 07:27:00,2026-05-29 08:37:00,70.0,1,5,Gent-Sint-Pieters,Mechelen,0,0,2026-05-29
