id,title,description,attachment,timestamp
0,Charleroi-Central - Erquelinnes: Situation restored,"The problem has been solved.
Delays and cancellations remain possible.

Listen to the announcements, consult the screens in the station or plan your journey through belgiantrain.be or the SNCB-NMBS ap",,2026-06-09 16:56:26
1,Alost / Aalst - Burst: Delays,"Train traffic is disrupted.
Trains run at a reduced speed.?

We are awaiting information by a technical team.
Listen to the announcements, consult the screens in the station or plan your journey throu",,2026-06-09 16:52:21
2,Chatelet - Tamines: Delays and cancellations,"Train traffic is disrupted.

We are awaiting information by a technical team.
Listen to the announcements, consult the screens in the station or plan your journey through belgiantrain.be or the SNCB-N",,2026-06-09 16:47:24
3,Bruges / Brugge - Ostende / Oostende: Situation restored,"Train traffic is gradually getting back on track.
Delays and cancellations remain possible.

Listen to the announcements, consult the screens in the station or plan your journey through belgiantrain.b",,2026-06-09 16:23:04
4,Maastricht (NL) - Aachen HBF (DE): No trains,"This train does not run beyond Maastricht (NL).

Train traffic is disrupted until the end of the day. Listen to the announcements, consult the screens in the station or plan your journey through belgi",,2026-06-09 15:23:52
5,Liège-Guillemins / Luik-Guillemins - Maastricht (NL),"During the weekends, from 30/05 to 28/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces all S43 trains Liège-Guillemins / Luik-Guillemins - Maastricht (NL) - Aachen HBF (DE) between Lièg",,2026-06-09 14:52:18
6,Brux./Brus.-Luxemb. - Ottignies,"During the weekend of 27-28/06 Infrabel is working on the track.

An SNCB-NMBS bus runs between Brux.-Midi/Brus.-Zuid and Ottignies.
Due to heavy road traffic, the SNCB bus departure times may differ ",,2026-06-08 16:54:45
7,Brux.-Midi/Brus.-Zuid - Gembloux,"During the weekends of 6-7 and 13-14/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces all trains between Ottignies and Gembloux.
The route and departure times of most trains running bet",,2026-06-08 15:41:56
8,Brux.-Midi/Brus.-Zuid - Nivelles / Nijvel,"During the weekend of 20-21/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces all trains between Brux.-Midi/Brus.-Zuid and Nivelles / Nijvel.
Attention, these buses do not stop at De Hoe",,2026-06-04 16:31:13
9,Hal / Halle - Vilvorde / Vilvoorde,"During the weekend of 13-14/06 Infrabel is working on the track.

The S5 trains Malines / Mechelen - Brux./Brus.-Luxemb. - Hal / Halle are cancelled.
The route of the S19 trains Landen - Brux./Brus.-L",,2026-06-04 11:18:31
