datetime,temperature_2m,relative_humidity_2m,precipitation,snowfall,wind_speed_10m,weather_code,date,hour,weekday,month,year
2021-01-01 00:00:00,-1.0,98,0.0,0.0,6.6,1,2021-01-01,0,Friday,1,2021
2021-01-01 01:00:00,-1.6,98,0.0,0.0,6.5,0,2021-01-01,1,Friday,1,2021
2021-01-01 02:00:00,-0.4,100,0.0,0.0,5.1,0,2021-01-01,2,Friday,1,2021
2021-01-01 03:00:00,-0.6,99,0.0,0.0,5.2,3,2021-01-01,3,Friday,1,2021
2021-01-01 04:00:00,-0.2,100,0.0,0.0,5.1,3,2021-01-01,4,Friday,1,2021
2021-01-01 05:00:00,0.2,100,0.0,0.0,7.1,3,2021-01-01,5,Friday,1,2021
2021-01-01 06:00:00,0.4,100,0.0,0.0,8.1,3,2021-01-01,6,Friday,1,2021
2021-01-01 07:00:00,0.3,100,0.0,0.0,7.4,3,2021-01-01,7,Friday,1,2021
2021-01-01 08:00:00,0.4,99,0.0,0.0,7.1,3,2021-01-01,8,Friday,1,2021
2021-01-01 09:00:00,0.3,98,0.0,0.0,6.6,3,2021-01-01,9,Friday,1,2021
2021-01-01 10:00:00,0.1,97,0.0,0.0,7.4,3,2021-01-01,10,Friday,1,2021
2021-01-01 11:00:00,0.8,96,0.0,0.0,9.8,3,2021-01-01,11,Friday,1,2021
2021-01-01 12:00:00,2.2,93,0.0,0.0,9.9,3,2021-01-01,12,Friday,1,2021
2021-01-01 13:00:00,3.5,90,0.0,0.0,10.2,3,2021-01-01,13,Friday,1,2021
2021-01-01 14:00:00,3.7,87,0.0,0.0,10.7,2,2021-01-01,14,Friday,1,2021
2021-01-01 15:00:00,4.0,86,0.0,0.0,11.4,3,2021-01-01,15,Friday,1,2021
2021-01-01 16:00:00,4.1,86,0.0,0.0,10.7,3,2021-01-01,16,Friday,1,2021
2021-01-01 17:00:00,3.7,88,0.0,0.0,10.5,3,2021-01-01,17,Friday,1,2021
2021-01-01 18:00:00,2.0,93,0.0,0.0,9.4,2,2021-01-01,18,Friday,1,2021
2021-01-01 19:00:00,1.5,94,0.0,0.0,10.0,2,2021-01-01,19,Friday,1,2021
2021-01-01 20:00:00,0.9,95,0.0,0.0,10.6,1,2021-01-01,20,Friday,1,2021
2021-01-01 21:00:00,1.0,95,0.0,0.0,11.3,2,2021-01-01,21,Friday,1,2021
2021-01-01 22:00:00,1.1,95,0.0,0.0,11.0,3,2021-01-01,22,Friday,1,2021
2021-01-01 23:00:00,1.5,93,0.0,0.0,11.8,3,2021-01-01,23,Friday,1,2021
2021-01-02 00:00:00,1.3,93,0.0,0.0,12.3,3,2021-01-02,0,Saturday,1,2021
2021-01-02 01:00:00,1.2,92,0.0,0.0,12.3,3,2021-01-02,1,Saturday,1,2021
2021-01-02 02:00:00,0.6,92,0.0,0.0,11.8,3,2021-01-02,2,Saturday,1,2021
2021-01-02 03:00:00,0.1,92,0.0,0.0,12.0,2,2021-01-02,3,Saturday,1,2021
2021-01-02 04:00:00,0.6,89,0.0,0.0,12.8,3,2021-01-02,4,Saturday,1,2021
2021-01-02 05:00:00,0.8,89,0.0,0.0,12.8,2,2021-01-02,5,Saturday,1,2021
2021-01-02 06:00:00,0.8,90,0.0,0.0,13.3,3,2021-01-02,6,Saturday,1,2021
2021-01-02 07:00:00,0.5,91,0.0,0.0,12.8,3,2021-01-02,7,Saturday,1,2021
2021-01-02 08:00:00,0.9,90,0.0,0.0,12.8,3,2021-01-02,8,Saturday,1,2021
2021-01-02 09:00:00,1.3,89,0.0,0.0,12.8,3,2021-01-02,9,Saturday,1,2021
2021-01-02 10:00:00,1.5,89,0.0,0.0,11.7,3,2021-01-02,10,Saturday,1,2021
2021-01-02 11:00:00,2.0,89,0.0,0.0,10.9,3,2021-01-02,11,Saturday,1,2021
2021-01-02 12:00:00,2.7,88,0.0,0.0,9.2,2,2021-01-02,12,Saturday,1,2021
